m1,m5,m7,m11,m13,m17,m19,phi5,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_7,alpha_8,alpha_9,alpha_10,alpha_11,alpha_12,alpha_13,alpha_14,alpha_15,alpha_16,alpha_17
0.85,0.01,0,0,0,0,0,-3.1416,0.25753683000138483,0.3296155173534384,0.517814170202039,0.5825798750007445,0.7641749794305177,0.8343237346451593,0.9921238193463995,1.0736259776898094,1.1910291245722036,1.2517426002511056,1.465502684400671,1.5502460997324754,1.7001237007010974,1.819907342381631,1.9369131838707954,2.0869001055046623,2.177423352494341
0.85,0.01,0,0,0,0,0,-3.0781,0.25753683000138483,0.3296155173534384,0.517814170202039,0.5825798750007445,0.7641749794305177,0.8343237346451593,0.9921238193463995,1.0736259776898094,1.1910291245722036,1.2517426002511056,1.465502684400671,1.5502460997324754,1.7001237007010974,1.819907342381631,1.9369131838707954,2.0869001055046623,2.177423352494341
0.85,0.01,0,0,0,0,0,-3.0147,0.25762629744308396,0.3295712592006915,0.5179030824803977,0.5825782263612589,0.7640587874892096,0.8344320586992378,0.9920786372015347,1.0735609781365765,1.1910225520859155,1.251904521811797,1.465565391767441,1.549989995833367,1.7002090747364005,1.8199929071044445,1.9367787036869877,2.0869845863373913,2.177288382585264
0.85,0.01,0,0,0,0,0,-2.9512,0.25762629744308396,0.3295712592006915,0.5179030824803977,0.5825782263612589,0.7640587874892096,0.8344320586992378,0.9920786372015347,1.0735609781365765,1.1910225520859155,1.251904521811797,1.465565391767441,1.549989995833367,1.7002090747364005,1.8199929071044445,1.9367787036869877,2.0869845863373913,2.177288382585264
0.85,0.01,0,0,0,0,0,-2.8877,0.25762629744308396,0.3295712592006915,0.5179030824803977,0.5825782263612589,0.7640587874892096,0.8344320586992378,0.9920786372015347,1.0735609781365765,1.1910225520859155,1.251904521811797,1.465565391767441,1.549989995833367,1.7002090747364005,1.8199929071044445,1.9367787036869877,2.0869845863373913,2.177288382585264
0.85,0.01,0,0,0,0,0,-2.8243,0.25788682389985756,0.32941001598414843,0.5178792224176039,0.5827276657798344,0.7639889187256304,0.83449454616369,0.9918892737613786,1.0735822306365557,1.1911150063685538,1.251933360383287,1.4656210273779005,1.5497870274355126,1.7003588976979807,1.8198963240670583,1.9367064760462391,2.087160600675099,2.1770787288336955
0.85,0.01,0,0,0,0,0,-2.7608,0.25788682389985756,0.32941001598414843,0.5178792224176039,0.5827276657798344,0.7639889187256304,0.83449454616369,0.9918892737613786,1.0735822306365557,1.1911150063685538,1.251933360383287,1.4656210273779005,1.5497870274355126,1.7003588976979807,1.8198963240670583,1.9367064760462391,2.087160600675099,2.1770787288336955
0.85,0.01,0,0,0,0,0,-2.6973,0.25788682389985756,0.32941001598414843,0.5178792224176039,0.5827276657798344,0.7639889187256304,0.83449454616369,0.9918892737613786,1.0735822306365557,1.1911150063685538,1.251933360383287,1.4656210273779005,1.5497870274355126,1.7003588976979807,1.8198963240670583,1.9367064760462391,2.087160600675099,2.1770787288336955
0.85,0.01,0,0,0,0,0,-2.6339,0.2580693888173808,0.3293542307852191,0.5179281679383492,0.5828833030972279,0.7637209418903793,0.8347175640388748,0.9917882566067655,1.0734509537402168,1.191206006241744,1.252044290123202,1.4657464257706745,1.549508098817047,1.7005531474914597,1.819876062794024,1.9365728765280672,2.087224722634968,2.176844015387649
0.85,0.01,0,0,0,0,0,-2.5704,0.2580693888173808,0.3293542307852191,0.5179281679383492,0.5828833030972279,0.7637209418903793,0.8347175640388748,0.9917882566067655,1.0734509537402168,1.191206006241744,1.252044290123202,1.4657464257706745,1.549508098817047,1.7005531474914597,1.819876062794024,1.9365728765280672,2.087224722634968,2.176844015387649
0.85,0.01,0,0,0,0,0,-2.5069,0.2580693888173808,0.3293542307852191,0.5179281679383492,0.5828833030972279,0.7637209418903793,0.8347175640388748,0.9917882566067655,1.0734509537402168,1.191206006241744,1.252044290123202,1.4657464257706745,1.549508098817047,1.7005531474914597,1.819876062794024,1.9365728765280672,2.087224722634968,2.176844015387649
0.85,0.01,0,0,0,0,0,-2.4435,0.25829182126697703,0.32931358124934473,0.5178549956949607,0.5831878709137155,0.763607856306888,0.8347241668847503,0.9915953797256111,1.073428350514401,1.1914001693595606,1.2520001218536014,1.4658329304728621,1.5493431111679008,1.7006854565933933,1.8197262859776602,1.9365200202905066,2.0873840482747705,2.176574448391716
0.85,0.01,0,0,0,0,0,-2.38,0.25829182126697703,0.32931358124934473,0.5178549956949607,0.5831878709137155,0.763607856306888,0.8347241668847503,0.9915953797256111,1.073428350514401,1.1914001693595606,1.2520001218536014,1.4658329304728621,1.5493431111679008,1.7006854565933933,1.8197262859776602,1.9365200202905066,2.0873840482747705,2.176574448391716
0.85,0.01,0,0,0,0,0,-2.3165,0.2583635169888808,0.32937330305918133,0.5179093420999258,0.5832888738106435,0.7633584470494612,0.8348756283121632,0.9916405155248436,1.07326519922942,1.1914591361015927,1.252077904211512,1.4659174659114633,1.5491910211191333,1.7008057375976164,1.8197699999616384,1.9364002334876977,2.087328864783773,2.176433956787343
0.85,0.01,0,0,0,0,0,-2.2531,0.2583635169888808,0.32937330305918133,0.5179093420999258,0.5832888738106435,0.7633584470494612,0.8348756283121632,0.9916405155248436,1.07326519922942,1.1914591361015927,1.252077904211512,1.4659174659114633,1.5491910211191333,1.7008057375976164,1.8197699999616384,1.9364002334876977,2.087328864783773,2.176433956787343
0.85,0.01,0,0,0,0,0,-2.1896,0.25853580740031773,0.3293663167747578,0.517839338966985,0.5835305537920001,0.7632857194440061,0.83482474998644,0.9915013538128014,1.0732892899386453,1.1916151287955474,1.251989479687169,1.4660020885818836,1.5490917269055682,1.7008656248534033,1.8196706863419951,1.936337990125541,2.0874796223847976,2.176222736624496
0.85,0.01,0,0,0,0,0,-2.1261,0.25853580740031773,0.3293663167747578,0.517839338966985,0.5835305537920001,0.7632857194440061,0.83482474998644,0.9915013538128014,1.0732892899386453,1.1916151287955474,1.251989479687169,1.4660020885818836,1.5490917269055682,1.7008656248534033,1.8196706863419951,1.936337990125541,2.0874796223847976,2.176222736624496
0.85,0.01,0,0,0,0,0,-2.0627,0.2586200395574684,0.3294268158827735,0.5178397665524612,0.5836662547877359,0.7630356229681977,0.8349642264375364,0.9915721394742745,1.0731223125438727,1.1916957771028969,1.2520042134725216,1.4661240605678547,1.5489634242240047,1.7009580370580366,1.819738762553106,1.9361687675032195,2.087454411432722,2.17608785127918
0.85,0.01,0,0,0,0,0,-1.9992,0.2586200395574684,0.3294268158827735,0.5178397665524612,0.5836662547877359,0.7630356229681977,0.8349642264375364,0.9915721394742745,1.0731223125438727,1.1916957771028969,1.2520042134725216,1.4661240605678547,1.5489634242240047,1.7009580370580366,1.819738762553106,1.9361687675032195,2.087454411432722,2.17608785127918
0.85,0.01,0,0,0,0,0,-1.9357,0.25875440392355364,0.32948087211341104,0.5177473754931079,0.583912348314226,0.7629676648665011,0.8348784069996131,0.9914858466351611,1.073130207582603,1.191859459932376,1.251882199457069,1.4662383237816403,1.5488748839833142,1.7010024340901404,1.8196554803730263,1.9360776003087565,2.087616953792811,2.1758764957329713
0.85,0.01,0,0,0,0,0,-1.8723,0.25875440392355364,0.32948087211341104,0.5177473754931079,0.583912348314226,0.7629676648665011,0.8348784069996131,0.9914858466351611,1.073130207582603,1.191859459932376,1.251882199457069,1.4662383237816403,1.5488748839833142,1.7010024340901404,1.8196554803730263,1.9360776003087565,2.087616953792811,2.1758764957329713
0.85,0.01,0,0,0,0,0,-1.8088,0.2588151163948601,0.3295627944803646,0.5177164000253929,0.5840253717666781,0.7627455458039918,0.8349880290522512,0.991605913037896,1.0729687574020272,1.1919292362518343,1.2518608066919927,1.4663531501405058,1.5487926947085973,1.7010611592231812,1.8197462796725374,1.9359007309170473,2.0875876101414383,2.1757822301088083
0.85,0.01,0,0,0,0,0,-1.7453,0.2588151163948601,0.3295627944803646,0.5177164000253929,0.5840253717666781,0.7627455458039918,0.8349880290522512,0.991605913037896,1.0729687574020272,1.1919292362518343,1.2518608066919927,1.4663531501405058,1.5487926947085973,1.7010611592231812,1.8197462796725374,1.9359007309170473,2.0875876101414383,2.1757822301088083
0.85,0.01,0,0,0,0,0,-1.6819,0.25892481719357757,0.32966447911169466,0.5175890114063554,0.5842721116346158,0.7626714120430822,0.8348826280639648,0.991575869985468,1.072963529183968,1.1921027415253342,1.2516921263130611,1.466498064431165,1.5487184962411038,1.7010691193289889,1.8197034844843782,1.9357668019060705,2.0877654506209447,2.1755866778409088
0.85,0.01,0,0,0,0,0,-1.6184,0.25892481719357757,0.32966447911169466,0.5175890114063554,0.5842721116346158,0.7626714120430822,0.8348826280639648,0.991575869985468,1.072963529183968,1.1921027415253342,1.2516921263130611,1.466498064431165,1.5487184962411038,1.7010691193289889,1.8197034844843782,1.9357668019060705,2.0877654506209447,2.1755866778409088
0.85,0.01,0,0,0,0,0,-1.5549,0.25895547287712833,0.3297751555288878,0.5175345190193726,0.584360216765483,0.7624846663724202,0.834956450796097,0.9917417054802087,1.072805387818998,1.1921536105026869,1.251654234338706,1.4666108021999478,1.548671145978812,1.701107784901593,1.8198009345075743,1.9355871720798534,2.0877310091080448,2.175524154640837
0.85,0.01,0,0,0,0,0,-1.4915,0.25895547287712833,0.3297751555288878,0.5175345190193726,0.584360216765483,0.7624846663724202,0.834956450796097,0.9917417054802087,1.072805387818998,1.1921536105026869,1.251654234338706,1.4666108021999478,1.548671145978812,1.701107784901593,1.8198009345075743,1.9355871720798534,2.0877310091080448,2.175524154640837
0.85,0.01,0,0,0,0,0,-1.428,0.2590353625240308,0.32991495919254665,0.517375871946212,0.5845802059990572,0.7624268271873553,0.8348245209464825,0.9917676015026753,1.0728002858872945,1.192324414822966,1.2514441667850447,1.466755696987793,1.5486331240145432,1.7010695736706476,1.8197956792686372,1.935434881805641,2.087909008674944,2.1753726572895586
0.85,0.01,0,0,0,0,0,-1.3645,0.2590353625240308,0.32991495919254665,0.517375871946212,0.5845802059990572,0.7624268271873553,0.8348245209464825,0.9917676015026753,1.0728002858872945,1.192324414822966,1.2514441667850447,1.466755696987793,1.5486331240145432,1.7010695736706476,1.8197956792686372,1.935434881805641,2.087909008674944,2.1753726572895586
0.85,0.01,0,0,0,0,0,-1.3011,0.25903632522925046,0.33004771717270964,0.5173031045279302,0.5846397531563393,0.762273758946418,0.8348691387266883,0.9919693433980112,1.072651522733966,1.1923523470138628,1.2513958845622286,1.466870617421949,1.5486124083633297,1.7010844449384874,1.8199023985753604,1.9352527726649587,2.087875644079259,2.1753399627746917
0.85,0.01,0,0,0,0,0,-1.2376,0.25903632522925046,0.33004771717270964,0.5173031045279302,0.5846397531563393,0.762273758946418,0.8348691387266883,0.9919693433980112,1.072651522733966,1.1923523470138628,1.2513958845622286,1.466870617421949,1.5486124083633297,1.7010844449384874,1.8199023985753604,1.9352527726649587,2.087875644079259,2.1753399627746917
0.85,0.01,0,0,0,0,0,-1.1741,0.25908058877948714,0.33021617957315175,0.517119322809809,0.584820408195515,0.762251312252624,0.8347062440024275,0.9920443775808292,1.0726512515179893,1.1925106671689207,1.2511583640992627,1.466999955306907,1.5486184379900265,1.7010033031328693,1.8199221508129297,1.9351013737297966,2.088043749382518,2.1752448189810667
0.85,0.01,0,0,0,0,0,-1.1107,0.25908058877948714,0.33021617957315175,0.517119322809809,0.584820408195515,0.762251312252624,0.8347062440024275,0.9920443775808292,1.0726512515179893,1.1925106671689207,1.2511583640992627,1.466999955306907,1.5486184379900265,1.7010033031328693,1.8199221508129297,1.9351013737297966,2.088043749382518,2.1752448189810667
0.85,0.01,0,0,0,0,0,-1.0472,0.2590532034451648,0.3303622141003677,0.517036473133815,0.5848434152231539,0.7621281550087137,0.8347309253275257,0.9922733283659396,1.072517952425993,1.1925130540060964,1.2511035340134118,1.4671119085583517,1.548620854338336,1.7009914600960998,1.820043062775036,1.934921833656784,2.0880122897638365,2.175243759381092
0.85,0.01,0,0,0,0,0,-0.9837,0.2590532034451648,0.3303622141003677,0.517036473133815,0.5848434152231539,0.7621281550087137,0.8347309253275257,0.9922733283659396,1.072517952425993,1.1925130540060964,1.2511035340134118,1.4671119085583517,1.548620854338336,1.7009914600960998,1.820043062775036,1.934921833656784,2.0880122897638365,2.175243759381092
0.85,0.01,0,0,0,0,0,-0.9203,0.25905839003101555,0.33054613029714885,0.5168377107081094,0.5849776642867306,0.7621540732395593,0.8345377096664015,0.992385419049632,1.0725263598822052,1.192648860949005,1.2508569940113872,1.4672154304520995,1.5486718285946912,1.7008746015129994,1.820074802992832,1.9347886746496639,2.0881620686375664,2.1752098806268068
0.85,0.01,0,0,0,0,0,-0.8568,0.25905839003101555,0.33054613029714885,0.5168377107081094,0.5849776642867306,0.7621540732395593,0.8345377096664015,0.992385419049632,1.0725263598822052,1.192648860949005,1.2508569940113872,1.4672154304520995,1.5486718285946912,1.7008746015129994,1.820074802992832,1.9347886746496639,2.0881620686375664,2.1752098806268068
0.85,0.01,0,0,0,0,0,-0.7933,0.25900484059352324,0.3306980599480263,0.5167516358620526,0.5849594829337421,0.7620565706183201,0.8345500390307419,0.992634041914712,1.0724119730870674,1.192626986950805,1.250796911209478,1.46731719234879,1.5486956069270792,1.700834427437423,1.8202139344755222,1.9346167100344238,2.088131486566072,2.175242482988898
0.85,0.01,0,0,0,0,0,-0.7299,0.25900484059352324,0.3306980599480263,0.5167516358620526,0.5849594829337421,0.7620565706183201,0.8345500390307419,0.992634041914712,1.0724119730870674,1.192626986950805,1.250796911209478,1.46731719234879,1.5486956069270792,1.700834427437423,1.8202139344755222,1.9346167100344238,2.088131486566072,2.175242482988898
